#t	Mdot	Mdisk	Rhot	Cirrout	H2R	Teffout	Tirrout	Qiir2Qvisout	Lx	mU	mB	mV	mR	mI	mJ	
#days	g/s	g	Rsun	float	float	K	K	float	erg/s	mag	mag	mag	mag	mag	mag
# Cirr=0
# F0=2e+38
# Mopt=0.5
# Mx=5
# Nx=1000
# Thot=0
# alpha=0.25
# boundcond=Teff
# colourfactor=1.7
# dir=.
# distance=10
# emax=12
# emin=1
# gaussmu=1
# gausssigma=0.25
# gridscale=log
# inclination=0
# initialcond=powerF
# irrfactortype=const
# kerr=0
# opacity=Kramers
# period=0.25
# powerorder=6
# prefix=freddi
# tau=0.25
# time=50
# --rout hadn't been specified, tidal radius 1.36395 Rsun was used
7.75	6.59637e+18	2.39927e+25	1.36395	0	0.0789438	9760.7	0	0	2.55124e+38	14.5172	15.6	15.763	15.8363	16.2011	16.1055
8	6.62678e+18	2.38501e+25	1.36395	0	0.0787841	9727.81	0	0	2.56412e+38	14.5214	15.604	15.7669	15.84	16.2045	16.1087
8.25	6.64762e+18	2.3707e+25	1.36395	0	0.078629	9695.91	0	0	2.57296e+38	14.5256	15.6082	15.7709	15.8437	16.2079	16.1119
8.5	6.65994e+18	2.35637e+25	1.36395	0	0.0784781	9664.92	0	0	2.57818e+38	14.53	15.6125	15.775	15.8475	16.2113	16.1151
8.75	6.66468e+18	2.34202e+25	1.36395	0	0.0783311	9634.77	0	0	2.58019e+38	14.5345	15.6169	15.7791	15.8513	16.2148	16.1183
9	6.66269e+18	2.32768e+25	1.36395	0	0.0781878	9605.39	0	0	2.57934e+38	14.539	15.6213	15.7833	15.8552	16.2183	16.1216
9.25	6.65474e+18	2.31336e+25	1.36395	0	0.0780477	9576.73	0	0	2.57597e+38	14.5437	15.6258	15.7875	15.8591	16.2219	16.1249
9.5	6.64151e+18	2.29906e+25	1.36395	0	0.0779106	9548.72	0	0	2.57036e+38	14.5485	15.6303	15.7918	15.863	16.2254	16.1282
9.75	6.62361e+18	2.28479e+25	1.36395	0	0.0777764	9521.32	0	0	2.56278e+38	14.5533	15.6349	15.7961	15.867	16.229	16.1315
10	6.60159e+18	2.27058e+25	1.36395	0	0.0776448	9494.49	0	0	2.55345e+38	14.5581	15.6396	15.8004	15.8709	16.2326	16.1349
10.25	6.57595e+18	2.25642e+25	1.36395	0	0.0775157	9468.17	0	0	2.54259e+38	14.5631	15.6443	15.8048	15.8749	16.2362	16.1382
10.5	6.54711e+18	2.24232e+25	1.36395	0	0.0773887	9442.35	0	0	2.53038e+38	14.568	15.649	15.8092	15.879	16.2398	16.1416
10.75	6.51549e+18	2.22828e+25	1.36395	0	0.0772638	9416.97	0	0	2.51699e+38	14.5731	15.6537	15.8136	15.883	16.2435	16.1449
11	6.48142e+18	2.21432e+25	1.36395	0	0.0771409	9392.01	0	0	2.50257e+38	14.5781	15.6585	15.818	15.887	16.2471	16.1483
11.25	6.44523e+18	2.20044e+25	1.36395	0	0.0770197	9367.44	0	0	2.48726e+38	14.5832	15.6633	15.8225	15.8911	16.2507	16.1517
11.5	6.40718e+18	2.18664e+25	1.36395	0	0.0769003	9343.23	0	0	2.47117e+38	14.5883	15.6681	15.8269	15.8951	16.2544	16.1551
11.75	6.36754e+18	2.17292e+25	1.36395	0	0.0767823	9319.36	0	0	2.45441e+38	14.5934	15.673	15.8314	15.8992	16.258	16.1584
12	6.32653e+18	2.1593e+25	1.36395	0	0.0766659	9295.81	0	0	2.43708e+38	14.5986	15.6778	15.8359	15.9033	16.2617	16.1618
12.25	6.28434e+18	2.14576e+25	1.36395	0	0.0765507	9272.56	0	0	2.41926e+38	14.6038	15.6827	15.8403	15.9074	16.2654	16.1652
12.5	6.24116e+18	2.13231e+25	1.36395	0	0.0764369	9249.59	0	0	2.40103e+38	14.609	15.6875	15.8448	15.9114	16.269	16.1686
12.75	6.19714e+18	2.11896e+25	1.36395	0	0.0763242	9226.88	0	0	2.38245e+38	14.6142	15.6924	15.8493	15.9155	16.2727	16.172
13	6.15243e+18	2.10571e+25	1.36395	0	0.0762127	9204.42	0	0	2.36359e+38	14.6194	15.6973	15.8538	15.9196	16.2764	16.1753
13.25	6.10716e+18	2.09255e+25	1.36395	0	0.0761022	9182.19	0	0	2.34451e+38	14.6247	15.7022	15.8583	15.9237	16.28	16.1787
13.5	6.06143e+18	2.07949e+25	1.36395	0	0.0759928	9160.19	0	0	2.32524e+38	14.6299	15.7071	15.8628	15.9278	16.2837	16.1821
13.75	6.01535e+18	2.06653e+25	1.36395	0	0.0758842	9138.39	0	0	2.30583e+38	14.6351	15.712	15.8674	15.9319	16.2873	16.1855
14	5.96901e+18	2.05367e+25	1.36395	0	0.0757766	9116.8	0	0	2.28632e+38	14.6404	15.7169	15.8719	15.936	16.291	16.1889
14.25	5.92249e+18	2.04091e+25	1.36395	0	0.0756698	9095.4	0	0	2.26675e+38	14.6457	15.7218	15.8764	15.94	16.2946	16.1922
14.5	5.87586e+18	2.02825e+25	1.36395	0	0.0755638	9074.17	0	0	2.24714e+38	14.6509	15.7267	15.8809	15.9441	16.2983	16.1956
14.75	5.82918e+18	2.01569e+25	1.36395	0	0.0754586	9053.13	0	0	2.22752e+38	14.6562	15.7316	15.8854	15.9482	16.3019	16.199
15	5.78251e+18	2.00323e+25	1.36395	0	0.0753541	9032.24	0	0	2.20791e+38	14.6614	15.7366	15.8899	15.9523	16.3056	16.2023
15.25	5.7359e+18	1.99087e+25	1.36395	0	0.0752503	9011.52	0	0	2.18834e+38	14.6667	15.7415	15.8944	15.9564	16.3092	16.2057
15.5	5.68939e+18	1.97861e+25	1.36395	0	0.0751472	8990.95	0	0	2.16883e+38	14.672	15.7464	15.8989	15.9604	16.3129	16.209
15.75	5.64302e+18	1.96646e+25	1.36395	0	0.0750448	8970.53	0	0	2.14938e+38	14.6772	15.7513	15.9034	15.9645	16.3165	16.2124
16	5.59684e+18	1.9544e+25	1.36395	0	0.0749429	8950.25	0	0	2.13002e+38	14.6825	15.7562	15.9079	15.9686	16.3201	16.2157
16.25	5.55086e+18	1.94244e+25	1.36395	0	0.0748417	8930.11	0	0	2.11076e+38	14.6877	15.7611	15.9124	15.9726	16.3237	16.219
16.5	5.50511e+18	1.93057e+25	1.36395	0	0.074741	8910.1	0	0	2.09161e+38	14.693	15.7659	15.9168	15.9767	16.3273	16.2224
